_id,stadium_name,address,lat,lon,url,distance
43,岩手県競馬組合水沢競馬場,岩手県奥州市水沢区姉体阿久戸1-2,39.1302949,141.1677472,http://www.iwate2016.jp/kokutai_game/horsemanship#619,
44,一関市総合体育館,岩手県一関市狐禅寺字石ノ瀬25−3,38.9408488,141.1556004,http://www.iwate2016.jp/kokutai_game/fencing#570,
45,久慈市民体育館,岩手県久慈市新中の橋4-13-3,40.1946348,141.7690882,http://www.iwate2016.jp/kokutai_game/judo#555,
46,石鳥谷ふれあい運動公園,岩手県花巻市石鳥谷町北寺林11-2029,39.4960854,141.1354066,http://www.iwate2016.jp/kokutai_game/softball#516,
47,森山総合公園野球場,岩手県胆沢郡金ケ崎町西根森山31番地2番地,39.2072594,141.0904462,http://www.iwate2016.jp/kokutai_game/softball#669,
48,金ケ崎中学校ソフトボール場,岩手県胆沢郡金ケ崎町西根菖蒲沢27−1,39.2064651,141.0927238,http://www.iwate2016.jp/kokutai_game/softball#671,
49,北上総合運動公園北上総合体育館,岩手県北上市相去町高前檀27-36番地,39.2588339,141.092891,http://www.iwate2016.jp/kokutai_game/badminton#533,
50,水沢弓道場,岩手県奥州市水沢区佐倉河字宝龍田61-6,39.1401511,141.1635645,http://www.iwate2016.jp/kokutai_game/japanese_archery#621,
51,岩手県警察学校射撃場,岩手県盛岡市青山一丁目17-1,39.7216916,141.1140119,http://www.iwate2016.jp/kokutai_game/riflery#458,
52,八幡平市田山射撃場,八幡平市矢神178-4,40.1352134,140.9449515,http://www.iwate2016.jp/kokutai_game/riflery#592,
53,旧八幡平市立田山中学校,岩手県八幡平市下モ川原30,40.1392519,140.9498372,http://www.iwate2016.jp/kokutai_game/riflery#595,
54,八幡平市立田山小学校,岩手県八幡平市下モ川原20番地,40.140849,140.9515481,http://www.iwate2016.jp/kokutai_game/riflery#597,
55,二戸市総合スポーツセンター,岩手県二戸市石切所字荷渡22-20番地,40.269991,141.2936763,http://www.iwate2016.jp/kokutai_game/kendo#583,
56,釜石市球技場,岩手県釜石市甲子町第10地割159-4,39.2542792,141.8075857,http://www.iwate2016.jp/kokutai_game/rugby_football#577,
57,八幡平市ラグビー場,岩手県八幡平市松尾寄木第7地割3番地,39.9233621,141.0042079,http://www.iwate2016.jp/kokutai_game/rugby_football#599,
58,岩手県営運動公園,岩手県盛岡市みたけ一丁目10-1番地,39.7367571,141.1186777,http://www.iwate2016.jp/kokutai_game/mountain#467,
59,岩手県立御所湖広域公園漕艇場,岩手県盛岡市繋字除キ4-1番地,39.668758,141.0040572,http://www.iwate2016.jp/kokutai_game/canoe#461,
60,胆沢川特設カヌー競技場,岩手県奥州市 国道397号線,39.1238763,140.9356646,http://www.iwate2016.jp/kokutai_game/canoe#623,
61,雫石町総合運動公園陸上競技場,岩手県岩手郡雫石町高前田104,39.7006148,140.963063,http://www.iwate2016.jp/kokutai_game/archery#627,
62,岩手県営武道館,岩手県盛岡市みたけ3-24-1,39.741162,141.1151445,http://www.iwate2016.jp/kokutai_game/karate#464,
